"CBSA"t"CBSA Code"t"Year"t"Days with AQI"t"Good Days"t"Moderate Days"t"Unhealthy for Sensitive Groups Days"t"Unhealthy Days"t"Very Unhealthy Days"t"Hazardous Days"t"Max AQI"t"90th Percentile AQI"t"Median AQI"t"Days CO"t"Days NO2"t"Days Ozone"t"Days PM2.5"t"Days PM10"
"Aberdeent SD"t"10100"t2018t121t114t5t1t0t0t1t429t45t24t0t0t0t109t12
"Aberdeent WA"t"10140"t2018t365t344t17t1t3t0t0t163t39t22t0t0t0t365t0
"Adjuntast PR"t"10260"t2018t27t27t0t0t0t0t0t32t23t14t0t0t0t27t0
"Adriant MI"t"10300"t2018t344t275t65t4t0t0t0t115t66t38t0t0t221t123t0
"Akront OH"t"10420"t2018t365t256t108t1t0t0t0t105t64t42t0t0t171t194t0
"Albanyt GA"t"10500"t2018t357t293t63t1t0t0t0t137t57t30t0t0t0t357t0
"Albanyt OR"t"10540"t2018t365t291t69t5t0t0t0t122t62t27t0t0t0t365t0
"Albany-Schenectady-Troyt NY"t"10580"t2018t365t288t74t3t0t0t0t119t60t38t0t0t233t132t0
"Albuquerquet NM"t"10740"t2018t365t151t190t23t1t0t0t165t90t54t0t1t259t51t54
"Alexandriat LA"t"10780"t2018t119t102t17t0t0t0t0t91t56t31t0t0t0t119t0
"Allentown-Bethlehem-Eastont PA-NJ"t"10900"t2018t365t246t114t5t0t0t0t136t76t42t0t6t180t179t0
"Altoonat PA"t"11020"t2018t359t293t65t1t0t0t0t132t59t38t0t0t239t120t0
"Amarillot TX"t"11100"t2018t365t264t91t10t0t0t0t134t74t43t0t0t340t25t0
"Americust GA"t"11140"t2018t241t219t22t0t0t0t0t80t50t34t0t0t241t0t0
"Anchoraget AK"t"11260"t2018t365t293t68t3t1t0t0t151t61t30t1t0t145t163t56
"Ann Arbort MI"t"11460"t2018t365t281t78t6t0t0t0t150t66t40t0t0t234t131t0
"Appletont WI"t"11540"t2018t361t293t67t1t0t0t0t101t59t40t0t0t216t145t0
"Ardmoret OK"t"11620"t2018t365t253t103t9t0t0t0t129t74t43t0t0t196t169t0
"Arkadelphiat AR"t"11660"t2018t361t342t19t0t0t0t0t87t46t31t0t0t361t0t0
"Ashevillet NC"t"11700"t2018t364t287t76t1t0t0t0t105t61t42t0t0t216t148t0
"Ashtabulat OH"t"11780"t2018t244t208t33t3t0t0t0t129t61t39t0t0t244t0t0
"Athenst OH"t"11900"t2018t94t88t6t0t0t0t0t57t46t28t0t0t0t94t0
"Athenst TN"t"11940"t2018t356t316t40t0t0t0t0t67t51t29t0t0t0t356t0
"Athens-Clarke Countyt GA"t"12020"t2018t332t262t68t2t0t0t0t105t58t39t0t0t151t181t0
"Atlanta-Sandy Springs-Roswellt GA"t"12060"t2018t365t211t144t10t0t0t0t133t77t47t0t12t157t196t0
"Atlantic City-Hammontont NJ"t"12100"t2018t365t327t37t1t0t0t0t112t51t37t0t0t250t115t0
"Augusta-Richmond Countyt GA-SC"t"12260"t2018t365t260t101t4t0t0t0t150t61t40t0t0t147t218t0
"Augusta-Watervillet ME"t"12300"t2018t360t344t16t0t0t0t0t90t46t30t0t115t217t25t3
"Austin-Round Rockt TX"t"12420"t2018t365t239t117t9t0t0t0t115t67t44t0t15t156t193t1
"Bakersfieldt CA"t"12540"t2018t365t65t170t103t27t0t0t190t142t84t0t0t246t106t13
"Baltimore-Columbia-Towsont MD"t"12580"t2018t365t213t136t16t0t0t0t150t80t47t0t10t172t183t0
"Bangort ME"t"12620"t2018t365t337t28t0t0t0t0t97t49t32t0t0t197t164t4
"Baraboot WI"t"12660"t2018t365t301t63t1t0t0t0t122t59t39t0t0t209t153t3
"Barnstable Townt MA"t"12700"t2018t360t338t18t4t0t0t0t133t46t36t0t0t355t5t0
"Bartlesvillet OK"t"12780"t2018t8t5t3t0t0t0t0t60t60t43t0t0t2t6t0
