"CBSA"t"CBSA Code"t"Year"t"Days with AQI"t"Good Days"t"Moderate Days"t"Unhealthy for Sensitive Groups Days"t"Unhealthy Days"t"Very Unhealthy Days"t"Hazardous Days"t"Max AQI"t"90th Percentile AQI"t"Median AQI"t"Days CO"t"Days NO2"t"Days Ozone"t"Days PM2.5"t"Days PM10"
"Aberdeent SD"t"10100"t2014t119t111t8t0t0t0t0t83t42t23t0t0t0t103t16
"Aberdeent WA"t"10140"t2014t365t342t23t0t0t0t0t68t40t20t0t0t0t365t0
"Adjuntast PR"t"10260"t2014t42t40t2t0t0t0t0t55t41t18t0t0t0t42t0
"Adriant MI"t"10300"t2014t345t243t99t3t0t0t0t129t65t42t0t0t132t213t0
"Akront OH"t"10420"t2014t365t302t62t1t0t0t0t107t59t34t100t0t174t91t0
"Albanyt GA"t"10500"t2014t359t216t142t1t0t0t0t111t65t45t0t0t0t359t0
"Albanyt OR"t"10540"t2014t365t319t44t2t0t0t0t130t54t25t0t0t0t365t0
"Albany-Schenectady-Troyt NY"t"10580"t2014t365t311t54t0t0t0t0t87t54t37t0t0t234t131t0
"Albuquerquet NM"t"10740"t2014t365t191t173t1t0t0t0t105t74t50t0t3t236t66t60
"Alexandriat LA"t"10780"t2014t290t199t90t1t0t0t0t106t58t41t0t0t0t290t0
"Allentown-Bethlehem-Eastont PA-NJ"t"10900"t2014t365t217t145t3t0t0t0t118t73t47t0t10t167t187t1
"Altoonat PA"t"11020"t2014t365t225t138t2t0t0t0t108t64t45t0t0t144t220t1
"Amarillot TX"t"11100"t2014t364t287t76t1t0t0t0t120t61t42t0t0t315t49t0
"Americust GA"t"11140"t2014t244t229t15t0t0t0t0t77t49t38t0t0t244t0t0
"Amest IA"t"11180"t2014t214t190t24t0t0t0t0t90t51t37t0t0t214t0t0
"Anchoraget AK"t"11260"t2014t365t246t106t10t2t1t0t231t81t35t3t0t72t186t104
"Ann Arbort MI"t"11460"t2014t365t249t112t4t0t0t0t126t67t43t0t0t176t189t0
"Appletont WI"t"11540"t2014t365t257t105t3t0t0t0t111t63t41t0t0t149t216t0
"Ardmoret OK"t"11620"t2014t357t264t87t6t0t0t0t136t74t44t0t0t276t81t0
"Arkadelphiat AR"t"11660"t2014t352t342t10t0t0t0t0t90t45t33t0t0t352t0t0
"Ashevillet NC"t"11700"t2014t364t263t100t1t0t0t0t105t64t43t0t0t177t187t0
"Ashtabulat OH"t"11780"t2014t213t176t35t2t0t0t0t119t64t41t0t0t213t0t0
"Athenst OH"t"11900"t2014t56t45t11t0t0t0t0t67t54t29t0t0t0t56t0
"Athenst TN"t"11940"t2014t273t232t41t0t0t0t0t84t54t39t0t0t202t71t0
"Athens-Clarke Countyt GA"t"12020"t2014t356t239t117t0t0t0t0t92t61t42t0t0t108t248t0
"Atlanta-Sandy Springs-Roswellt GA"t"12060"t2014t365t132t215t17t1t0t0t159t80t55t0t3t122t240t0
"Atlantic City-Hammontont NJ"t"12100"t2014t363t332t30t0t1t0t0t167t50t37t0t0t322t41t0
"Augusta-Richmond Countyt GA-SC"t"12260"t2014t363t227t136t0t0t0t0t92t64t45t0t0t142t221t0
"Augusta-Watervillet ME"t"12300"t2014t286t279t7t0t0t0t0t87t43t29t0t59t204t0t23
"Austin-Round Rockt TX"t"12420"t2014t365t249t116t0t0t0t0t97t67t44t0t12t188t164t1
"Bakersfieldt CA"t"12540"t2014t365t32t173t117t42t0t1t307t154t97t0t0t230t127t8
"Baltimore-Columbia-Towsont MD"t"12580"t2014t365t153t207t5t0t0t0t136t75t53t0t9t116t240t0
"Bangort ME"t"12620"t2014t365t340t25t0t0t0t0t76t47t33t0t0t227t136t2
"Baraboot WI"t"12660"t2014t365t306t56t3t0t0t0t115t54t36t0t0t169t193t3
"Barnstable Townt MA"t"12700"t2014t363t351t12t0t0t0t0t84t45t35t0t0t355t8t0
"Baton Rouget LA"t"12940"t2014t365t172t180t12t1t0t0t156t80t52t1t8t135t220t1
"Bay Cityt MI"t"13020"t2014t348t277t71t0t0t0t0t96t55t34t0t0t0t348t0
"Beaumont-Port Arthurt TX"t"13140"t2014t365t244t116t5t0t0t0t133t66t44t0t0t197t168t0
"Beaver Damt WI"t"13180"t2014t365t280t80t5t0t0t0t108t61t40t0t0t247t117t1
"Beckleyt WV"t"13220"t2014t8t8t0t0t0t0t0t24t24t18t0t0t0t8t0
"Bellinghamt WA"t"13380"t2014t339t302t37t0t0t0t0t79t52t31t0t0t84t255t0
"Bemidjit MN"t"13420"t2014t88t82t6t0t0t0t0t64t45t17t0t0t0t88t0
"Bend-Redmondt OR"t"13460"t2014t365t325t39t1t0t0t0t113t51t32t0t0t133t232t0
"Benningtont VT"t"13540"t2014t362t326t36t0t0t0t0t90t50t36t0t0t269t93t0
"Berlint NH-VT"t"13620"t2014t365t315t50t0t0t0t0t97t54t43t0t0t363t2t0
"Billingst MT"t"13740"t2014t324t287t37t0t0t0t0t76t52t25t0t0t0t324t0
"Birmingham-Hoovert AL"t"13820"t2014t365t158t201t6t0t0t0t119t74t53t0t7t72t284t2
"Bishopt CA"t"13860"t2014t365t233t117t6t5t1t3t911t83t47t0t0t294t28t43
"Bismarckt ND"t"13900"t2014t365t331t33t1t0t0t0t127t50t36t0t5t290t67t3
"Blacksburg-Christiansburg-Radfordt VA"t"13980"t2014t354t323t31t0t0t0t0t90t50t39t0t0t354t0t0
"Bloomingtont IL"t"14010"t2014t363t317t46t0t0t0t0t100t54t36t0t0t339t24t0
"Bloomingtont IN"t"14020"t2014t363t260t102t0t1t0t0t157t61t40t0t0t126t237t0
"Boise Cityt ID"t"14260"t2014t365t291t73t0t1t0t0t156t61t40t2t60t252t31t20
"Boonet NC"t"14380"t2014t116t107t9t0t0t0t0t58t49t28t0t0t0t116t0
"Boston-Cambridge-Newtont MA-NH"t"14460"t2014t365t203t157t5t0t0t0t112t66t48t0t17t129t217t2
"Bouldert CO"t"14500"t2014t360t261t94t5t0t0t0t126t71t44t0t0t332t27t1
"Bowling Greent KY"t"14540"t2014t365t285t80t0t0t0t0t100t62t40t0t0t273t92t0
"Bozemant MT"t"14580"t2014t365t325t40t0t0t0t0t85t51t25t0t10t0t355t0
"Brainerdt MN"t"14660"t2014t365t329t36t0t0t0t0t80t50t31t0t0t178t187t0
"Bransont MO"t"14700"t2014t263t245t18t0t0t0t0t77t49t35t0t0t193t70t0
"Bremerton-Silverdalet WA"t"14740"t2014t362t354t8t0t0t0t0t70t34t17t0t0t0t362t0
"Bridgeport-Stamford-Norwalkt CT"t"14860"t2014t365t212t139t12t2t0t0t164t84t48t0t12t155t198t0
"Brookingst SD"t"15100"t2014t362t327t34t1t0t0t0t108t50t35t0t0t293t41t28
"Brownsville-Harlingent TX"t"15180"t2014t365t251t114t0t0t0t0t99t66t43t0t0t137t228t0
"Brunswickt GA"t"15260"t2014t332t287t45t0t0t0t0t88t54t37t0t0t144t188t0
"Buffalo-Cheektowaga-Niagara Fallst NY"t"15380"t2014t365t248t116t1t0t0t0t101t63t43t0t7t167t191t0
"Burlingtont NC"t"15500"t2014t365t308t57t0t0t0t0t73t53t35t0t0t0t365t0
"Burlington-South Burlingtont VT"t"15540"t2014t365t321t44t0t0t0t0t83t53t37t0t3t253t109t0
"Butte-Silver Bowt MT"t"15580"t2014t362t279t82t1t0t0t0t108t61t30t0t0t0t325t37
"Cadillact MI"t"15620"t2014t365t320t45t0t0t0t0t100t52t38t0t0t276t89t0
"Cambridget MD"t"15700"t2014t365t277t88t0t0t0t0t90t62t43t0t0t258t107t0
"Canton-Massillont OH"t"15940"t2014t365t282t81t2t0t0t0t108t64t41t2t0t132t231t0
"Cape Coral-Fort Myerst FL"t"15980"t2014t365t306t59t0t0t0t0t93t54t38t0t0t255t106t4
"Carlsbad-Artesiat NM"t"16100"t2014t363t275t84t4t0t0t0t115t64t40t0t4t317t42t0
"Carson Cityt NV"t"16180"t2014t365t265t96t3t1t0t0t162t71t44t0t0t205t160t0
"Caspert WY"t"16220"t2014t365t330t35t0t0t0t0t77t50t41t0t15t345t5t0
"Ca¤on Cityt CO"t"15860"t2014t59t58t1t0t0t0t0t51t27t15t0t0t0t0t59
"Cedar Rapidst IA"t"16300"t2014t365t249t115t1t0t0t0t112t64t43t0t0t131t232t2
"Centraliat WA"t"16500"t2014t365t342t23t0t0t0t0t75t45t23t0t0t0t365t0
"Chambersburg-Waynesborot PA"t"16540"t2014t337t311t26t0t0t0t0t87t49t38t0t0t337t0t0
"Champaign-Urbanat IL"t"16580"t2014t365t301t63t1t0t0t0t101t61t38t0t0t312t53t0
"Charlestont WV"t"16620"t2014t364t302t62t0t0t0t0t100t58t35t0t0t181t82t101
"Charleston-North Charlestont SC"t"16700"t2014t365t291t74t0t0t0t0t87t56t39t0t4t129t232t0
"Charlotte-Concord-Gastoniat NC-SC"t"16740"t2014t365t212t148t5t0t0t0t115t72t48t0t3t215t147t0
"Charlottesvillet VA"t"16820"t2014t364t320t44t0t0t0t0t77t52t35t0t0t108t256t0
"Chattanoogat TN-GA"t"16860"t2014t365t229t135t1t0t0t0t105t64t44t0t0t144t221t0
"Cheyennet WY"t"16940"t2014t365t292t73t0t0t0t0t97t61t44t1t10t319t32t3
"Chicago-Naperville-Elgint IL-IN-WI"t"16980"t2014t365t61t286t17t1t0t0t155t87t62t0t15t53t275t22
"Chicot CA"t"17020"t2014t365t173t178t12t2t0t0t155t84t52t0t0t228t137t0
"Cincinnatit OH-KY-IN"t"17140"t2014t365t105t247t13t0t0t0t143t84t58t0t25t102t236t2
"Claremont-Lebanont NH-VT"t"17200"t2014t365t324t40t1t0t0t0t101t51t36t0t0t258t107t0
"Clarksburgt WV"t"17220"t2014t120t95t25t0t0t0t0t72t54t33t0t0t0t120t0
"Clarksvillet TN-KY"t"17300"t2014t364t261t102t1t0t0t0t101t64t43t0t0t218t146t0
"Clearlaket CA"t"17340"t2014t357t335t22t0t0t0t0t93t48t37t0t0t352t4t1
"Clevelandt MS"t"17380"t2014t209t195t14t0t0t0t0t90t49t37t0t0t209t0t0
"Cleveland-Elyriat OH"t"17460"t2014t365t180t175t9t1t0t0t173t80t51t5t9t111t219t21
"Clintont IA"t"17540"t2014t365t184t177t4t0t0t0t124t71t50t0t0t95t270t0
"Colorado Springst CO"t"17820"t2014t365t277t88t0t0t0t0t90t64t44t0t0t355t10t0
"Columbiat MO"t"17860"t2014t214t190t24t0t0t0t0t87t51t38t0t0t214t0t0
"Columbiat SC"t"17900"t2014t365t239t126t0t0t0t0t93t64t45t0t0t154t208t3
"Columbust GA-AL"t"17980"t2014t365t246t117t2t0t0t0t108t63t42t0t0t110t255t0
"Columbust IN"t"18020"t2014t364t263t100t1t0t0t0t108t66t40t0t98t146t120t0
"Columbust OH"t"18140"t2014t365t214t144t7t0t0t0t115t71t47t0t16t130t218t1
"Concordt NH"t"18180"t2014t297t274t22t1t0t0t0t101t48t31t0t0t246t51t0
"Cookevillet TN"t"18260"t2014t109t91t18t0t0t0t0t83t57t34t0t0t0t109t0
"Corningt NY"t"18500"t2014t365t346t19t0t0t0t0t77t46t33t11t0t284t70t0
"Corpus Christit TX"t"18580"t2014t365t260t104t1t0t0t0t105t63t42t0t0t169t195t1
"Corsicanat TX"t"18620"t2014t364t278t86t0t0t0t0t93t58t41t0t3t200t161t0
"Corvallist OR"t"18700"t2014t364t344t19t1t0t0t0t115t40t16t0t0t0t364t0
"Craigt CO"t"18780"t2014t270t236t34t0t0t0t0t90t51t43t0t0t270t0t0
"Crawfordsvillet IN"t"18820"t2014t149t92t57t0t0t0t0t77t63t44t0t0t0t149t0
"Crescent Cityt CA"t"18860"t2014t115t112t3t0t0t0t0t55t33t12t0t0t0t115t0
