"CBSA"t"CBSA Code"t"Year"t"Days with AQI"t"Good Days"t"Moderate Days"t"Unhealthy for Sensitive Groups Days"t"Unhealthy Days"t"Very Unhealthy Days"t"Hazardous Days"t"Max AQI"t"90th Percentile AQI"t"Median AQI"t"Days CO"t"Days NO2"t"Days Ozone"t"Days PM2.5"t"Days PM10"
"Aberdeent SD"t"10100"t2016t119t113t6t0t0t0t0t76t42t20t0t0t0t103t16
"Aberdeent WA"t"10140"t2016t364t355t9t0t0t0t0t71t37t21t0t0t0t364t0
"Adjuntast PR"t"10260"t2016t97t90t7t0t0t0t0t72t47t21t0t0t0t97t0
"Adriant MI"t"10300"t2016t361t286t73t2t0t0t0t119t58t40t0t0t163t198t0
"Akront OH"t"10420"t2016t366t254t111t1t0t0t0t112t61t44t0t0t129t237t0
"Albanyt GA"t"10500"t2016t363t263t100t0t0t0t0t93t59t36t0t0t0t363t0
"Albanyt OR"t"10540"t2016t366t333t33t0t0t0t0t78t50t19t0t0t0t366t0
"Albany-Schenectady-Troyt NY"t"10580"t2016t366t310t53t3t0t0t0t119t58t37t0t0t283t83t0
"Albuquerquet NM"t"10740"t2016t366t185t178t3t0t0t0t143t74t50t0t3t239t69t55
"Alexandriat LA"t"10780"t2016t102t96t6t0t0t0t0t62t48t34t0t0t0t102t0
"Allentown-Bethlehem-Eastont PA-NJ"t"10900"t2016t366t174t181t10t0t1t0t217t75t51t0t6t129t231t0
"Altoonat PA"t"11020"t2016t366t285t79t2t0t0t0t122t59t40t0t0t196t166t4
"Amarillot TX"t"11100"t2016t366t323t42t1t0t0t0t112t54t41t0t0t333t33t0
"Americust GA"t"11140"t2016t245t218t26t1t0t0t0t101t54t39t0t0t245t0t0
"Amest IA"t"11180"t2016t212t198t14t0t0t0t0t77t48t35t0t0t212t0t0
"Anchoraget AK"t"11260"t2016t366t251t111t4t0t0t0t128t69t38t0t0t130t147t89
"Ann Arbort MI"t"11460"t2016t366t293t67t6t0t0t0t122t60t40t0t0t253t113t0
"Appletont WI"t"11540"t2016t349t300t47t2t0t0t0t108t55t33t0t0t177t172t0
"Ardmoret OK"t"11620"t2016t298t249t46t3t0t0t0t129t61t41t0t0t255t43t0
"Arkadelphiat AR"t"11660"t2016t355t351t4t0t0t0t0t54t45t34t0t0t355t0t0
"Ashevillet NC"t"11700"t2016t366t272t83t7t4t0t0t167t64t43t0t0t190t176t0
"Ashtabulat OH"t"11780"t2016t213t171t36t6t0t0t0t126t64t41t0t0t213t0t0
"Athenst OH"t"11900"t2016t60t58t2t0t0t0t0t56t42t27t0t0t0t60t0
"Athenst TN"t"11940"t2016t119t101t17t0t1t0t0t167t52t32t0t0t0t119t0
"Athens-Clarke Countyt GA"t"12020"t2016t362t295t61t4t2t0t0t162t61t40t0t0t191t171t0
"Atlanta-Sandy Springs-Roswellt GA"t"12060"t2016t366t105t229t28t4t0t0t200t97t57t0t2t153t211t0
"Atlantic City-Hammontont NJ"t"12100"t2016t364t314t49t1t0t0t0t129t54t38t0t0t287t77t0
"Augusta-Richmond Countyt GA-SC"t"12260"t2016t366t269t92t3t2t0t0t166t64t43t0t0t217t149t0
"Augusta-Watervillet ME"t"12300"t2016t309t295t14t0t0t0t0t84t46t30t0t76t206t25t2
"Austin-Round Rockt TX"t"12420"t2016t366t280t85t1t0t0t0t105t60t42t0t18t225t122t1
"Bakersfieldt CA"t"12540"t2016t366t70t180t102t14t0t0t169t136t80t0t0t231t128t7
"Baltimore-Columbia-Towsont MD"t"12580"t2016t366t196t146t19t4t1t0t204t90t49t0t32t183t151t0
"Bangort ME"t"12620"t2016t366t320t46t0t0t0t0t75t54t36t0t0t193t173t0
"Baraboot WI"t"12660"t2016t366t328t37t1t0t0t0t101t51t32t0t0t183t179t4
"Barnstable Townt MA"t"12700"t2016t362t337t24t1t0t0t0t115t47t36t0t0t353t9t0
"Bartlesvillet OK"t"12780"t2016t274t215t59t0t0t0t0t100t58t42t0t0t184t90t0
"Baton Rouget LA"t"12940"t2016t366t186t171t9t0t0t0t146t77t50t0t2t128t233t3
"Bay Cityt MI"t"13020"t2016t355t320t35t0t0t0t0t81t50t28t0t0t0t355t0
"Beaumont-Port Arthurt TX"t"13140"t2016t366t287t76t3t0t0t0t122t63t42t0t1t251t114t0
"Beaver Damt WI"t"13180"t2016t366t311t52t3t0t0t0t148t56t36t0t0t274t92t0
"Bellinghamt WA"t"13380"t2016t349t342t7t0t0t0t0t59t39t25t0t0t145t204t0
"Bemidjit MN"t"13420"t2016t358t344t14t0t0t0t0t71t33t18t0t0t0t358t0
"Bend-Redmondt OR"t"13460"t2016t327t322t5t0t0t0t0t61t37t22t0t0t0t327t0
"Benningtont VT"t"13540"t2016t366t343t22t1t0t0t0t112t48t36t0t0t328t38t0
"Berlint NH-VT"t"13620"t2016t365t303t58t4t0t0t0t119t61t44t0t0t365t0t0
"Billingst MT"t"13740"t2016t323t307t15t1t0t0t0t124t43t23t0t0t0t323t0
"Birmingham-Hoovert AL"t"13820"t2016t366t191t164t10t1t0t0t151t77t49t0t16t149t198t3
"Bishopt CA"t"13860"t2016t366t244t99t15t4t1t3t426t87t44t0t0t313t16t37
"Bismarckt ND"t"13900"t2016t366t354t11t1t0t0t0t117t45t33t0t7t301t46t12
"Blacksburg-Christiansburg-Radfordt VA"t"13980"t2016t341t312t28t1t0t0t0t115t50t39t0t0t341t0t0
"Bloomingtont IL"t"14010"t2016t366t309t56t1t0t0t0t108t57t38t0t0t294t72t0
"Bloomingtont IN"t"14020"t2016t357t295t59t3t0t0t0t140t60t36t0t0t163t194t0
"Boise Cityt ID"t"14260"t2016t366t218t134t13t1t0t0t155t80t46t0t6t160t196t4
"Boston-Cambridge-Newtont MA-NH"t"14460"t2016t366t218t141t7t0t0t0t143t67t46t0t13t189t163t1
"Bouldert CO"t"14500"t2016t204t190t14t0t0t0t0t97t48t35t0t0t108t80t16
"Bowling Greent KY"t"14540"t2016t366t284t82t0t0t0t0t97t58t42t0t0t187t179t0
"Bozemant MT"t"14580"t2016t366t317t38t7t3t0t1t365t56t25t3t10t0t353t0
"Brainerdt MN"t"14660"t2016t357t334t23t0t0t0t0t84t45t29t0t0t161t196t0
"Bransont MO"t"14700"t2016t264t253t11t0t0t0t0t63t46t35t0t0t200t64t0
"Bremerton-Silverdalet WA"t"14740"t2016t357t356t1t0t0t0t0t55t26t16t0t0t0t357t0
"Bridgeport-Stamford-Norwalkt CT"t"14860"t2016t366t223t120t16t7t0t0t185t87t45t0t0t164t202t0
"Brookingst SD"t"15100"t2016t365t342t22t1t0t0t0t101t47t34t0t0t292t48t25
"Brownsville-Harlingent TX"t"15180"t2016t366t277t87t2t0t0t0t110t63t40t0t0t172t194t0
"Brunswickt GA"t"15260"t2016t343t314t27t2t0t0t0t129t49t35t0t0t182t161t0
"Buffalo-Cheektowaga-Niagara Fallst NY"t"15380"t2016t366t283t77t6t0t0t0t136t61t42t0t22t203t141t0
"Burlington-South Burlingtont VT"t"15540"t2016t366t349t17t0t0t0t0t80t45t35t0t1t308t57t0
