"CBSA"t"CBSA Code"t"Year"t"Days with AQI"t"Good Days"t"Moderate Days"t"Unhealthy for Sensitive Groups Days"t"Unhealthy Days"t"Very Unhealthy Days"t"Hazardous Days"t"Max AQI"t"90th Percentile AQI"t"Median AQI"t"Days CO"t"Days NO2"t"Days Ozone"t"Days PM2.5"t"Days PM10"
"Aberdeent SD"t"10100"t2017t122t117t5t0t0t0t0t97t40t23t0t0t0t105t17
"Aberdeent WA"t"10140"t2017t365t344t18t2t1t0t0t159t43t20t0t0t0t365t0
"Adjuntast PR"t"10260"t2017t47t41t6t0t0t0t0t89t55t28t0t0t0t47t0
"Adriant MI"t"10300"t2017t364t302t61t1t0t0t0t101t58t40t0t0t207t157t0
"Akront OH"t"10420"t2017t365t268t97t0t0t0t0t97t60t40t0t0t186t179t0
"Albanyt GA"t"10500"t2017t356t272t83t0t1t0t0t151t59t38t0t0t0t356t0
"Albanyt OR"t"10540"t2017t365t295t61t4t5t0t0t177t61t24t0t0t0t365t0
"Albany-Schenectady-Troyt NY"t"10580"t2017t365t306t59t0t0t0t0t90t53t39t0t0t256t109t0
"Albuquerquet NM"t"10740"t2017t365t165t196t4t0t0t0t119t80t52t0t2t258t29t76
"Alexandriat LA"t"10780"t2017t107t97t10t0t0t0t0t65t49t31t0t0t0t107t0
"Allentown-Bethlehem-Eastont PA-NJ"t"10900"t2017t365t179t185t1t0t0t0t119t74t51t0t1t130t234t0
"Altoonat PA"t"11020"t2017t362t291t71t0t0t0t0t88t58t42t0t0t221t141t0
"Amarillot TX"t"11100"t2017t365t284t80t1t0t0t0t105t61t43t0t0t343t22t0
"Americust GA"t"11140"t2017t241t229t12t0t0t0t0t67t47t35t0t0t241t0t0
"Anchoraget AK"t"11260"t2017t365t286t73t5t1t0t0t155t62t31t1t0t166t133t65
"Ann Arbort MI"t"11460"t2017t365t284t78t3t0t0t0t119t61t40t0t0t240t125t0
"Appletont WI"t"11540"t2017t357t311t46t0t0t0t0t90t52t36t0t0t214t143t0
"Ardmoret OK"t"11620"t2017t325t230t87t7t1t0t0t151t67t45t0t0t206t119t0
"Arkadelphiat AR"t"11660"t2017t358t345t13t0t0t0t0t74t45t34t0t0t358t0t0
"Ashevillet NC"t"11700"t2017t365t296t69t0t0t0t0t84t58t43t0t0t222t143t0
"Ashtabulat OH"t"11780"t2017t245t212t31t2t0t0t0t143t58t39t0t0t245t0t0
"Athenst OH"t"11900"t2017t59t56t3t0t0t0t0t56t44t26t0t0t0t59t0
"Athenst TN"t"11940"t2017t221t189t32t0t0t0t0t66t53t33t0t0t0t221t0
"Athens-Clarke Countyt GA"t"12020"t2017t360t311t49t0t0t0t0t97t54t38t0t0t175t185t0
"Atlanta-Sandy Springs-Roswellt GA"t"12060"t2017t365t174t180t11t0t0t0t150t80t51t0t15t163t187t0
"Atlantic City-Hammontont NJ"t"12100"t2017t365t307t58t0t0t0t0t90t54t38t0t0t282t83t0
"Augusta-Richmond Countyt GA-SC"t"12260"t2017t365t260t103t1t0t0t1t364t61t44t0t0t185t178t2
"Augusta-Watervillet ME"t"12300"t2017t360t348t12t0t0t0t0t100t44t31t0t100t237t22t1
"Austin-Round Rockt TX"t"12420"t2017t365t262t99t4t0t0t0t130t64t43t0t18t186t161t0
"Bakersfieldt CA"t"12540"t2017t365t76t150t115t24t0t0t197t140t84t0t0t253t99t13
"Baltimore-Columbia-Towsont MD"t"12580"t2017t365t223t127t13t2t0t0t166t74t47t0t18t217t130t0
"Bangort ME"t"12620"t2017t348t331t17t0t0t0t0t80t44t31t0t0t184t160t4
"Baraboot WI"t"12660"t2017t364t319t45t0t0t0t0t87t53t36t0t0t179t184t1
"Barnstable Townt MA"t"12700"t2017t358t332t21t5t0t0t0t150t48t37t0t0t350t8t0
"Bartlesvillet OK"t"12780"t2017t365t269t94t2t0t0t0t108t60t42t0t0t237t128t0
"Baton Rouget LA"t"12940"t2017t365t231t126t8t0t0t0t140t67t46t0t2t146t217t0
"Bay Cityt MI"t"13020"t2017t362t338t24t0t0t0t0t80t45t27t0t0t0t362t0
"Beaumont-Port Arthurt TX"t"13140"t2017t365t268t94t3t0t0t0t133t65t43t0t0t192t173t0
"Beaver Damt WI"t"13180"t2017t365t314t50t1t0t0t0t122t54t37t0t0t289t76t0
"Bellinghamt WA"t"13380"t2017t348t320t21t4t3t0t0t178t46t28t0t0t158t190t0
"Bemidjit MN"t"13420"t2017t353t331t22t0t0t0t0t74t41t20t0t0t0t353t0
"Bend-Redmondt OR"t"13460"t2017t365t292t45t2t15t8t3t365t81t20t0t0t0t365t0
"Benningtont VT"t"13540"t2017t364t338t25t1t0t0t0t101t48t35t0t0t290t74t0
"Berlint NH-VT"t"13620"t2017t356t293t60t2t1t0t0t174t61t43t0t0t349t7t0
"Billingst MT"t"13740"t2017t356t304t47t5t0t0t0t141t58t25t0t0t0t356t0
"Birmingham-Hoovert AL"t"13820"t2017t365t177t185t3t0t0t0t129t69t51t0t2t121t239t3
"Bishopt CA"t"13860"t2017t365t204t136t16t3t0t6t2060t87t48t0t0t288t23t54
"Bismarckt ND"t"13900"t2017t365t306t56t2t1t0t0t198t58t38t1t4t258t96t6
"Blacksburg-Christiansburg-Radfordt VA"t"13980"t2017t350t327t22t1t0t0t0t101t49t40t0t0t350t0t0
"Bloomingtont IL"t"14010"t2017t364t285t79t0t0t0t0t100t58t41t0t0t207t157t0
"Bloomingtont IN"t"14020"t2017t358t297t60t1t0t0t0t101t56t40t0t0t210t148t0
"Boise Cityt ID"t"14260"t2017t365t182t155t23t3t2t0t243t95t51t1t9t192t158t5
"Boston-Cambridge-Newtont MA-NH"t"14460"t2017t365t178t182t5t0t0t0t147t68t51t0t4t107t254t0
"Bouldert CO"t"14500"t2017t357t240t106t11t0t0t0t149t80t45t0t0t329t28t0
"Bowling Greent KY"t"14540"t2017t365t271t94t0t0t0t0t87t56t42t0t0t169t196t0
"Bozemant MT"t"14580"t2017t365t288t74t2t1t0t0t152t66t23t2t18t0t345t0
"Brainerdt MN"t"14660"t2017t364t338t26t0t0t0t0t90t48t32t0t0t201t163t0
"Bransont MO"t"14700"t2017t285t267t18t0t0t0t0t74t48t38t0t0t237t48t0
"Bremerton-Silverdalet WA"t"14740"t2017t360t342t13t5t0t0t0t144t35t15t0t0t0t360t0
"Bridgeport-Stamford-Norwalkt CT"t"14860"t2017t365t267t82t12t4t0t0t179t74t42t0t10t174t181t0
"Brookingst SD"t"15100"t2017t365t330t35t0t0t0t0t90t50t34t0t0t292t46t27
"Brownsville-Harlingent TX"t"15180"t2017t365t306t59t0t0t0t0t87t57t38t0t0t217t148t0
"Brunswickt GA"t"15260"t2017t276t257t19t0t0t0t0t77t47t35t0t0t215t61t0
"Buffalo-Cheektowaga-Niagara Fallst NY"t"15380"t2017t365t279t85t1t0t0t0t119t61t39t0t17t193t155t0
"Burlington-South Burlingtont VT"t"15540"t2017t365t342t23t0t0t0t0t74t47t35t0t6t291t67t1
"Butte-Silver Bowt MT"t"15580"t2017t354t230t100t20t4t0t0t180t92t35t0t0t0t329t25
"Cadillact MI"t"15620"t2017t365t331t33t1t0t0t0t101t50t37t0t0t321t44t0
"Cambridget MD"t"15700"t2017t365t293t72t0t0t0t0t90t58t42t0t0t248t117t0
"Canton-Massillont OH"t"15940"t2017t365t250t113t2t0t0t0t119t64t44t5t0t180t180t0
"Cape Coral-Fort Myerst FL"t"15980"t2017t363t325t38t0t0t0t0t90t51t37t0t0t269t90t4
"Carlsbad-Artesiat NM"t"16100"t2017t365t245t110t10t0t0t0t140t80t45t0t3t362t0t0
"Carson Cityt NV"t"16180"t2017t365t278t85t1t1t0t0t162t59t44t0t0t309t56t0
"Caspert WY"t"16220"t2017t365t297t66t2t0t0t0t137t61t44t0t11t341t13t0
"Ca¤on Cityt CO"t"15860"t2017t39t39t0t0t0t0t0t44t28t11t0t0t0t0t39
"Cedar Rapidst IA"t"16300"t2017t365t289t76t0t0t0t0t97t58t39t0t0t173t190t2
"Centraliat WA"t"16500"t2017t365t327t35t1t2t0t0t159t52t19t0t0t0t365t0
"Chambersburg-Waynesborot PA"t"16540"t2017t358t354t4t0t0t0t0t67t45t33t0t0t358t0t0
"Champaign-Urbanat IL"t"16580"t2017t365t286t78t1t0t0t0t105t58t41t0t0t248t117t0
"Charlestont WV"t"16620"t2017t365t302t62t1t0t0t0t105t56t41t1t0t207t157t0
"Charleston-North Charlestont SC"t"16700"t2017t361t302t58t1t0t0t0t101t55t40t0t4t203t152t2
"Charlotte-Concord-Gastoniat NC-SC"t"16740"t2017t365t214t146t5t0t0t0t115t68t48t0t1t207t157t0
"Charlottesvillet VA"t"16820"t2017t347t317t30t0t0t0t0t80t50t37t0t0t215t132t0
"Chattanoogat TN-GA"t"16860"t2017t362t236t124t2t0t0t0t108t64t45t0t0t153t209t0
"Cheyennet WY"t"16940"t2017t365t281t81t1t2t0t0t160t64t44t0t8t329t24t4
"Chicago-Naperville-Elgint IL-IN-WI"t"16980"t2017t365t161t179t23t2t0t0t177t90t52t0t21t159t168t17
"Chicot CA"t"17020"t2017t365t152t189t23t1t0t0t154t94t57t0t0t218t145t2
